DBV,Dubrovnik Airport,HR
OSI,Osijek Airport,HR
PUY,Pula Airport,HR
RJK,Rijeka Airport,HR
BWK,Brač Airport,HR
SPU,Split Airport,HR
ZAG,Zagreb Airport,HR
ZAD,Zadar Airport,HR
ABC,Albacete Airport / Los Llanos Air Base,ES
ALC,Alicante-Elche Miguel Hernández Airport,ES
LEI,Almería Airport,ES
OVD,Asturias Airport,ES
ODB,Córdoba Airport,ES
BIO,Bilbao Airport,ES
RGS,Burgos Airport,ES
BCN,Josep Tarradellas Barcelona-El Prat Airport,ES
BJZ,Badajoz Airport,ES
CDT,Castellón-Costa Azahar Airport,ES
LCG,A Coruña Airport,ES
ILD,Lleida-Alguaire Airport,ES
GRO,Girona-Costa Brava Airport,ES
GRX,F.G.L. Airport Granada-Jaén Airport,ES
IBZ,Ibiza Airport,ES
XRY,Jerez Airport,ES
MJV,San Javier Airport,ES
LEN,León Airport,ES
RJL,Logroño-Agoncillo Airport,ES
MAD,Adolfo Suárez Madrid–Barajas Airport,ES
AGP,Málaga-Costa del Sol Airport,ES
MAH,Menorca Airport,ES
RMU,Región de Murcia International Airport,ES
OZP,Moron Air Base,ES
PMI,Palma de Mallorca Airport,ES
PNA,Pamplona Airport,ES
CQM,Ciudad Real International Airport,ES
REU,Reus Airport,ES
ROZ,Rota Naval Station Airport,ES
SLM,Salamanca Airport,ES
EAS,San Sebastián Airport,ES
SCQ,Santiago-Rosalía de Castro Airport,ES
TEV,Teruel Airport,ES
TOJ,Madrid–Torrejón Airport / Torrejón Air Base,ES
VLC,Valencia Airport,ES
VLL,Valladolid Airport,ES
VIT,Vitoria Airport,ES
VGO,Vigo Airport,ES
SDR,Seve Ballesteros-Santander Airport,ES
ZAZ,Zaragoza Airport,ES
SVQ,Sevilla Airport,ES
CQF,Calais-Dunkerque Airport,FR
LTQ,Le Touquet-Côte d'Opale Airport,FR
AGF,Agen-La Garenne Airport,FR
BOD,Bordeaux-Mérignac Airport,FR
EGC,Bergerac-Roumanière Airport,FR
CNG,Cognac-Châteaubernard (BA 709) Air Base,FR
LRH,La Rochelle-Île de Ré Airport,FR
PIS,Poitiers-Biard Airport,FR
MCU,Montluçon-Guéret Airport,FR
LIG,Limoges Airport,FR
NIT,Niort-Souché Airport,FR
TLS,Toulouse-Blagnac Airport,FR
PUF,Pau Pyrénées Airport,FR
LDE,Tarbes-Lourdes-Pyrénées Airport,FR
ANG,Angoulême-Brie-Champniers Airport,FR
PGX,Périgueux-Bassillac Airport,FR
BIQ,Biarritz-Anglet-Bayonne Airport,FR
ZAO,Aérodrome de Cahors-Lalbenque,FR
LBI,Albi-Le Séquestre Airport,FR
DCM,Castres-Mazamet Airport,FR
RDZ,Rodez-Marcillac Airport,FR
RYN,Royan-Médis Airport,FR
RCO,Rochefort-Saint-Agnant (BA 721) Airport,FR
IDY,Île d'Yeu Airport,FR
CMR,Colmar-Houssen Airport,FR
DLE,Dole-Tavaux Airport,FR
OBS,Aubenas-Ardèche Méridional Airport,FR
LPY,Le Puy-Loudes Airfield,FR
ETZ,Metz-Nancy-Lorraine Airport,FR
ANE,Angers-Loire Airport,FR
BIA,Bastia-Poretta Airport,FR
CLY,Calvi-Sainte-Catherine Airport,FR
FSC,Figari Sud-Corse Airport,FR
AJA,Ajaccio-Napoléon Bonaparte Airport,FR
SOZ,Solenzara (BA 126) Air Base,FR
AUF,Auxerre-Branches Airport,FR
CMF,Chambéry-Savoie Airport,FR
CFE,Clermont-Ferrand Auvergne Airport,FR
BOU,Bourges Airport,FR
LYS,Lyon Saint-Exupéry Airport,FR
SYT,Saint-Yan Airport,FR
RNE,Roanne-Renaison Airport,FR
NCY,Annecy-Haute-Savoie-Mont Blanc Airport,FR
GNB,Grenoble-Isère Airport,FR
VAF,Valence-Chabeuil Airport,FR
VHY,Vichy-Charmeil Airport,FR
AUR,Aurillac Airport,FR
CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport",FR
LYN,Lyon-Bron Airport,FR
CEQ,Cannes-Mandelieu Airport,FR
EBU,Saint-Étienne-Bouthéon Airport,FR
CCF,Carcassonne Airport,FR
MRS,Marseille Provence Airport,FR
NCE,Nice-Côte d'Azur Airport,FR
PGF,Perpignan-Rivesaltes (Llabanère) Airport,FR
CTT,Le Castellet Airport,FR
MPL,Montpellier-Méditerranée Airport,FR
BZR,Béziers-Vias Airport,FR
AVN,Avignon-Caumont Airport,FR
MEN,Mende-Brenoux Airfield,FR
BVA,Paris Beauvais Tillé Airport,FR
EVX,Évreux-Fauville (BA 105) Air Base,FR
LEH,Le Havre-Octeville Airport,FR
XCR,Châlons-Vatry Airport,FR
URO,Rouen Vallée de Seine Airport,FR
TUF,Tours-Val-de-Loire Airport,FR
CET,Cholet Le Pontreau Airport,FR
LVA,Laval-Entrammes Airport,FR
LBG,Paris-Le Bourget Airport,FR
CSF,Creil Air Base,FR
CDG,Charles de Gaulle International Airport,FR
TNF,Toussus-le-Noble Airport,FR
ORY,Paris-Orly Airport,FR
POX,Aérodrome de Pontoise - Cormeilles en Vexin,FR
VIY,Vélizy-Villacoublay Air Base,FR
NVS,Nevers-Fourchambault Airport,FR
LIL,Lille-Lesquin Airport,FR
HZB,Merville-Calonne Airport,FR
BES,Brest Bretagne Airport,FR
CER,Cherbourg-Maupertus Airport,FR
DNR,Dinard-Pleurtuit-Saint-Malo Airport,FR
LBY,La Baule-Escoublac Airport,FR
GFR,Granville Airport,FR
DOL,Deauville-Saint-Gatien Airport,FR
LRT,Lorient South Brittany (Bretagne Sud) Airport,FR
EDM,La Roche-sur-Yon Airport,FR
LDV,Landivisiau Air Base,FR
CFR,Caen-Carpiquet Airport,FR
LME,Le Mans-Arnage Airport,FR
RNS,Rennes-Saint-Jacques Airport,FR
LAI,Lannion-Côte de Granit Airport,FR
UIP,Quimper-Cornouaille Airport,FR
NTE,Nantes Atlantique Airport,FR
SBK,Saint-Brieuc-Armor Airport,FR
MXN,Morlaix-Ploujean Airport,FR
VNE,Vannes-Meucon Airport,FR
SNR,Saint-Nazaire-Montoir Airport,FR
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,FR
DIJ,Dijon-Bourgogne Airport,FR
EPL,Épinal-Mirecourt Airport,FR
BVE,Brive-Souillac,FR
ENC,Nancy-Essey Airport,FR
SXB,Strasbourg Airport,FR
TLN,Toulon-Hyères Airport,FR
FNI,Nîmes-Arles-Camargue Airport,FR
PYR,Andravida Air Base,GR
AXD,Alexandroupoli Democritus Airport,GR
ATH,Athens Eleftherios Venizelos International Airport,GR
VOL,Nea Anchialos National Airport,GR
JKH,Chios Island National Airport,GR
IOA,Ioannina Airport,GR
HER,Heraklion International Nikos Kazantzakis Airport,GR
EFL,Kefallinia Airport,GR
KLX,Kalamata Airport,GR
KGS,Kos Airport,GR
AOK,Karpathos Airport,GR
CFU,Ioannis Kapodistrias International Airport,GR
KVA,Kavala Alexander the Great International Airport,GR
KZI,Kozani State Airport Filippos,GR
JMK,Mikonos Airport,GR
MJT,Mytilene International Airport,GR
PVK,Aktion National Airport,GR
RHO,Diagoras Airport,GR
GPA,Patras Araxos Agamemnon Airport,GR
CHQ,Chania International Airport,GR
JSI,Skiathos Island National Airport,GR
